Date,LME Lead Cash-Settlement,LME Lead 3-month,LME Lead stock
2008-01-02,"2,580.00","2,580.00","45,350"
2008-01-03,"2,593.00","2,601.00","46,750"
2008-01-04,"2,665.00","2,670.00","46,850"
2008-01-05,-,-,-
2008-01-06,-,-,-
2008-01-07,"2,601.00","2,611.00","48,900"
2008-01-08,"2,580.50","2,600.00","49,200"
2008-01-09,"2,630.00","2,620.50","49,300"
2008-01-10,"2,525.50","2,535.50","49,325"
2008-01-11,"2,551.00","2,565.00","49,250"
2008-01-12,-,-,-
2008-01-13,-,-,-
2008-01-14,"2,640.00","2,661.00","48,950"
2008-01-15,"2,680.00","2,685.50","49,325"
2008-01-16,"2,610.00","2,611.00","49,300"
2008-01-17,"2,610.00","2,619.50","48,650"
2008-01-18,"2,550.00","2,540.00","48,050"
2008-01-19,-,-,-
2008-01-20,-,-,-
2008-01-21,"2,513.50","2,516.50","47,925"
2008-01-22,"2,480.00","2,482.00","48,100"
2008-01-23,"2,540.50","2,555.00","48,075"
2008-01-24,"2,579.50","2,590.00","47,900"
2008-01-25,"2,650.50","2,670.00","47,800"
2008-01-26,-,-,-
2008-01-27,-,-,-
2008-01-28,"2,586.50","2,605.00","47,075"
2008-01-29,"2,730.00","2,740.00","48,900"
2008-01-30,"2,741.00","2,755.00","49,100"
2008-01-31,"2,741.50","2,751.00","48,700"
2008-02-01,"2,845.00","2,855.00","48,525"
2008-02-02,-,-,-
2008-02-03,-,-,-
2008-02-04,"2,865.00","2,851.00","48,700"
2008-02-05,"2,770.00","2,770.00","49,075"
2008-02-06,"2,800.00","2,796.00","49,000"
2008-02-07,"2,786.00","2,775.50","49,000"
2008-02-08,"2,880.00","2,885.00","49,000"
2008-02-09,-,-,-
2008-02-10,-,-,-
2008-02-11,"3,012.00","3,005.00","49,050"
2008-02-12,"3,032.00","3,021.50","48,650"
2008-02-13,"3,020.00","3,020.00","47,800"
2008-02-14,"3,071.00","3,061.00","47,675"
